"Rank","Name","Platform","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Year"
2206,"Mario Tennis Open","3DS","Sports","Nintendo",0.26,0.29,0.33,0.05,0.94,"2012"
2592,"Mario & Sonic at the Sochi 2014 Olympic Winter Games","WiiU","Sports","Nintendo",0.39,0.22,0.13,0.06,0.8,"2013"
2773,"Mario & Luigi: Paper Jam","3DS","Role-Playing","Nintendo",0.16,0.3,0.25,0.04,0.74,"2015"
2956,"Mario Pinball Land","GBA","Misc","Nintendo",0.5,0.18,0,0.01,0.69,"2004"
3273,"Mario's Picross","GB","Puzzle","Nintendo",0,0,0.62,0,0.62,"1995"
3570,"Classic NES Series: Dr. Mario","GBA","Puzzle","Nintendo",0.31,0.11,0.13,0.01,0.56,"2004"
3824,"Mario Tennis: Power Tour","GBA","Sports","Nintendo",0.24,0.09,0.19,0.01,0.52,"2005"
4043,"Mario & Wario","SNES","Puzzle","Nintendo",0,0,0.49,0,0.49,"1993"
4093,"Mario Golf: World Tour","3DS","Sports","Nintendo",0.15,0.14,0.17,0.03,0.48,"2014"
4223,"Dance Dance Revolution: Mario Mix","GC","Misc","Nintendo",0.36,0.09,0,0.01,0.47,"2005"
4263,"Mario & Sonic at the Rio 2016 Olympic Games","3DS","Action","Nintendo",0.04,0.16,0.24,0.01,0.46,"2016"
4301,"Puzzle & Dragons Z + Super Mario Bros. Edition","3DS","Puzzle","Nintendo",0.05,0.05,0.34,0.01,0.46,"2015"
4402,"Mario Tennis Ultra Smash","WiiU","Sports","Nintendo",0.13,0.16,0.13,0.03,0.45,"2015"
4406,"Mario Golf: Advance Tour","GBA","Sports","Nintendo",0.32,0.12,0,0.01,0.45,"2004"
4590,"Famicom Mini: Super Mario Bros. 2","GBA","Platform","Nintendo",0,0,0.41,0.01,0.42,"2004"
4625,"Dr. Mario 64","N64","Puzzle","Nintendo",0.34,0.07,0,0,0.42,"2001"
4767,"Mario no Super Picross","SNES","Puzzle","Nintendo",0,0,0.41,0,0.41,"1995"
5569,"Dr. Mario / Puzzle League","GBA","Puzzle","Nintendo",0.12,0.04,0.16,0.01,0.33,"2005"
5718,"Mario Golf","GB","Action","Nintendo",0,0,0.31,0,0.31,"1999"
6590,"Mario & Sonic at the Rio 2016 Olympic Games","WiiU","Action","Nintendo",0.03,0.11,0.1,0.01,0.26,"2016"
11284,"Famicom Mini: Mario Bros.","GBA","Platform","Nintendo",0,0,0.08,0,0.08,"2004"
12125,"Mario Tennis","Wii","Sports","Nintendo",0,0.06,0,0.01,0.07,"2010"
12375,"Mario vs. Donkey Kong: Tipping Stars","3DS","Puzzle","Nintendo",0,0,0.06,0,0.06,"2015"
12772,"Dance Dance Revolution: Mario Mix (JP sales)","GC","Simulation","Nintendo",0,0,0.05,0,0.06,"2005"
13275,"Detective Conan: Marionette Symphony","3DS","Adventure","Namco Bandai Games",0,0,0.05,0,0.05,"2013"
15264,"Mario Tennis","3DS","Sports","N/A",0,0,0.02,0,0.02,"N/A"
16360,"Mario vs. Donkey Kong: Tipping Stars","WiiU","Puzzle","Nintendo",0,0,0.01,0,0.01,"2015"
16545,"Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack","3DS","Misc","Nintendo",0,0,0.01,0,0.01,"2015"
